spectrum,VDISP,VDISP_ERR,Z,Z_ERR,ZWARNING,SPECTROFLUX_U,SPECTROFLUX_G,SPECTROFLUX_R,SPECTROFLUX_I,SPECTROFLUX_Z,SPECTROFLUX_IVAR_U,SPECTROFLUX_IVAR_G,SPECTROFLUX_IVAR_R,SPECTROFLUX_IVAR_I,SPECTROFLUX_IVAR_Z,SPECTROSYNFLUX_U,SPECTROSYNFLUX_G,SPECTROSYNFLUX_R,SPECTROSYNFLUX_I,SPECTROSYNFLUX_Z,SPECTROSYNFLUX_IVAR_U,SPECTROSYNFLUX_IVAR_G,SPECTROSYNFLUX_IVAR_R,SPECTROSYNFLUX_IVAR_I,SPECTROSYNFLUX_IVAR_Z,object_id
"{'flux': array([-0.7598071, -0.7598776, -0.7599481, ..., 12.85719  , 12.857147 ,
       12.857103 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.        , 0.        , 0.        , ..., 0.71502537, 0.        ,
       0.        ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",105.505005,20.927553,0.10262886,8.222167e-06,False,5.3518333,12.263675,24.013086,34.642445,42.15221,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,4.9112315,12.204352,23.770727,35.197113,41.473743,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461628614023079936'
"{'flux': array([16.363224 , 16.364405 , 16.365583 , ...,  5.773368 ,  5.773328 ,
        5.7732882], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.        , 0.        , 0.        , ..., 0.7191302 , 0.74684024,
       0.        ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",55.352123,22.274382,0.062189225,6.463034e-06,False,14.140302,29.679224,42.053524,54.868134,58.079845,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,7.690519,29.695498,42.11439,54.396683,60.402206,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461629163778893824'
"{'flux': array([28.391745 , 28.393688 , 28.39563  , ...,  6.5476627,  6.547614 ,
        6.547565 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.        , 0.        , 0.        , ..., 0.7175728 , 0.74693173,
       0.        ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",194.91913,17.321861,0.19192226,3.501745e-05,False,3.3916295,11.895378,38.43006,67.63889,95.490585,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,4.216338,11.737471,38.523895,66.93014,95.52421,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461629438656800768'
"{'flux': array([6.3791437, 6.376995 , 6.37485  , ..., 5.3064747, 5.306595 ,
       5.306715 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",155.83717,9.551984,0.079991534,2.457931e-05,False,10.137599,31.837166,80.322784,120.463264,159.33002,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,7.4470496,31.827032,79.98427,120.42404,158.76749,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461729494214928384'
"{'flux': array([13.263488 , 13.259022 , 13.2545595, ..., 19.111935 , 19.112368 ,
       19.1128   ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,0.0,0.00026295814,2.3932893e-05,False,0.68696594,5.859431,19.737005,32.28379,42.351173,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,0.6885859,5.796001,19.507244,32.110058,41.76281,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461730043970742272'
"{'flux': array([1.6115434, 1.6110431, 1.6105436, ..., 6.2921033, 6.292274 ,
       6.2924438], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,0.0,-0.00017316252,9.387824e-06,False,10.017099,43.601776,90.1,117.201065,135.69026,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,11.358241,43.35127,90.079956,116.80843,134.16806,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461731693238183936'
"{'flux': array([ 2.2652678,  2.264569 ,  6.845962 , ..., 11.634929 , 11.635248 ,
       11.635566 ], dtype=float32), 'ivar': array([0.        , 0.02335365, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0570521, 1.0390148, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",168.86984,13.246572,0.15208249,3.2180145e-05,False,3.3083196,11.299306,32.773262,52.953476,71.18188,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,3.4936612,11.240003,32.773758,52.443428,71.70524,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461740764209113088'
"{'flux': array([18.153217, 18.147217, 15.03947 , ..., 74.357506, 74.35927 ,
       74.36103 ], dtype=float32), 'ivar': array([0.        , 0.01322032, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0573564, 1.0466237, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",0.0,20.627567,0.043599978,7.737884e-06,False,8.115567,14.420575,22.82252,31.048029,37.1996,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,7.434284,14.368945,22.803782,30.751585,36.758366,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461742963232368640'
"{'flux': array([ 1.2479684,  1.2475711,  3.674088 , ..., 13.407541 , 13.407888 ,
       13.408233 ], dtype=float32), 'ivar': array([0.        , 0.01599168, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0574911, 1.0383344, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",0.0,0.0,0.00016999073,8.78844e-06,False,151.55626,304.58728,450.23706,515.04736,543.7966,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,148.08574,305.1834,448.90717,516.09155,536.85834,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461744612499810304'
"{'flux': array([-0.4637739 , -0.46361822,  1.0589294 , ..., 10.722383  ,
       10.722628  , 10.722873  ], dtype=float32), 'ivar': array([0.        , 0.02326636, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0575539, 1.0388362, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",28.59474,30.900932,0.03219464,5.463286e-06,False,23.042257,33.885967,53.098476,68.53867,81.63781,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,18.65198,33.757874,52.729725,68.361496,82.06654,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461745162255624192'
